alpha,k,weighting,catatan
0.4,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.5,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.5 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.5,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.5 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.5,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.5 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.5,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.5 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.5,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.5 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.5,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.5 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.6,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.6 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.6,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.6 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.6,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.6 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.6,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.6 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.6,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.6 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.6,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.6 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.7,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.7 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.7,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.7 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.7,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.7 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.7,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.7 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.7,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.7 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.7,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.7 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.8,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.8 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.8,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.8 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.8,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.8 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.8,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.8 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.8,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.8 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.8,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.8 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.9,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.9 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.9,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.9 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.9,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.9 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.9,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.9 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.9,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.9 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.9,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.9 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
1.0,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=1,0 k=1 -- baseline murni retrieval k-NN (head diabaikan sepenuhnya) -- batas atas pengaruh retrieval."
1.0,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=1,0 k=3 -- baseline murni retrieval k-NN (head diabaikan sepenuhnya) -- batas atas pengaruh retrieval."
1.0,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=1,0 k=5 -- baseline murni retrieval k-NN (head diabaikan sepenuhnya) -- batas atas pengaruh retrieval."
1.0,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=1,0 k=10 -- baseline murni retrieval k-NN (head diabaikan sepenuhnya) -- batas atas pengaruh retrieval."
1.0,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=1,0 k=20 -- baseline murni retrieval k-NN (head diabaikan sepenuhnya) -- batas atas pengaruh retrieval."
1.0,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=1,0 k=50 -- baseline murni retrieval k-NN (head diabaikan sepenuhnya) -- batas atas pengaruh retrieval."
