formula,alpha,k,weighting,catatan
rumus4,0.3,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,3 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.3,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,3 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.3,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,3 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.4,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,4 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.4,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,4 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.4,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,4 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.4,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,4 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.4,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,4 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.4,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,4 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.5,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,5 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.5,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,5 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.5,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,5 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.5,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,5 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.5,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,5 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.5,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,5 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.6,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,6 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.6,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,6 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.6,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,6 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.6,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,6 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.6,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,6 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.6,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,6 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.7,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,7 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.7,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,7 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.7,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,7 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.7,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,7 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.7,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,7 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.7,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,7 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.8,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,8 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.8,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,8 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.8,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,8 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.8,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,8 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.8,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,8 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.8,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,8 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.9,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,9 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.9,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,9 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.9,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,9 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.9,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,9 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.9,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,9 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.9,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,9 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus1,,1,similarity,"Tahap 2 RM-c, Rumus 1 fusi level skor (Long dkk., 2022): logit dan vote retrieval di-L2-normalisasi lalu dirata-ratakan, tanpa alpha, k=1."
rumus1,,3,similarity,"Tahap 2 RM-c, Rumus 1 fusi level skor (Long dkk., 2022): logit dan vote retrieval di-L2-normalisasi lalu dirata-ratakan, tanpa alpha, k=3."
rumus1,,5,similarity,"Tahap 2 RM-c, Rumus 1 fusi level skor (Long dkk., 2022): logit dan vote retrieval di-L2-normalisasi lalu dirata-ratakan, tanpa alpha, k=5."
rumus1,,10,similarity,"Tahap 2 RM-c, Rumus 1 fusi level skor (Long dkk., 2022): logit dan vote retrieval di-L2-normalisasi lalu dirata-ratakan, tanpa alpha, k=10."
rumus1,,20,similarity,"Tahap 2 RM-c, Rumus 1 fusi level skor (Long dkk., 2022): logit dan vote retrieval di-L2-normalisasi lalu dirata-ratakan, tanpa alpha, k=20."
rumus1,,50,similarity,"Tahap 2 RM-c, Rumus 1 fusi level skor (Long dkk., 2022): logit dan vote retrieval di-L2-normalisasi lalu dirata-ratakan, tanpa alpha, k=50."
rumus2,,1,similarity,"Tahap 2 RM-c, Rumus 2 alpha adaptif = rata-rata similarity k tetangga (parameter-free), k=1."
rumus2,,3,similarity,"Tahap 2 RM-c, Rumus 2 alpha adaptif = rata-rata similarity k tetangga (parameter-free), k=3."
rumus2,,5,similarity,"Tahap 2 RM-c, Rumus 2 alpha adaptif = rata-rata similarity k tetangga (parameter-free), k=5."
rumus2,,10,similarity,"Tahap 2 RM-c, Rumus 2 alpha adaptif = rata-rata similarity k tetangga (parameter-free), k=10."
rumus2,,20,similarity,"Tahap 2 RM-c, Rumus 2 alpha adaptif = rata-rata similarity k tetangga (parameter-free), k=20."
rumus2,,50,similarity,"Tahap 2 RM-c, Rumus 2 alpha adaptif = rata-rata similarity k tetangga (parameter-free), k=50."
rumus3,,1,similarity,"Tahap 2 RM-c, Rumus 3 alpha adaptif = 1 - max(p_head), yaitu ketidakpastian head (parameter-free), k=1."
rumus3,,3,similarity,"Tahap 2 RM-c, Rumus 3 alpha adaptif = 1 - max(p_head), yaitu ketidakpastian head (parameter-free), k=3."
rumus3,,5,similarity,"Tahap 2 RM-c, Rumus 3 alpha adaptif = 1 - max(p_head), yaitu ketidakpastian head (parameter-free), k=5."
rumus3,,10,similarity,"Tahap 2 RM-c, Rumus 3 alpha adaptif = 1 - max(p_head), yaitu ketidakpastian head (parameter-free), k=10."
rumus3,,20,similarity,"Tahap 2 RM-c, Rumus 3 alpha adaptif = 1 - max(p_head), yaitu ketidakpastian head (parameter-free), k=20."
rumus3,,50,similarity,"Tahap 2 RM-c, Rumus 3 alpha adaptif = 1 - max(p_head), yaitu ketidakpastian head (parameter-free), k=50."
